1								3	N						
3								3	N						
1		tanító halmaz						3	N		teszt halmaz				
3		harag	öröm	semleges	bánat			4	S						
3		1	2	3	4	SZUM		3	N		1	2	3	4	SZUM
3		228	78	475	50	831		1	A		76	19	173	12	280
3								3	N						
4		27,44%	9,39%	57,16%	6,02%			1	A		27,14%	6,79%	61,79%	4,29%	
3								2	J						
3								4	S						
1								3	N						
4								3	N						
3								3	N						
3								1	A						
1								3	N						
1								1	A						
3								3	N						
1								3	N						
1								3	N						
1								1	A						
3								3	N						
3								1	A						
2								3	N						
3								3	N						
1								1	A						
3								3	N						
1								3	N						
1								3	N						
1								3	N						
3								3	N						
1								3	N						
3								2	J						
3								3	N						
2								3	N						
3								3	N						
4								3	N						
1								3	N						
3								3	N						
3								1	A						
4								1	A						
3								3	N						
2								3	N						
3								1	A						
3								3	N						
1								1	A						
1								1	A						
3								3	N						
3								2	J						
1								3	N						
1								3	N						
3								3	N						
2								3	N						
3								3	N						
1								3	N						
3								2	J						
3								4	S						
1								3	N						
4								3	N						
3								1	A						
3								3	N						
1								3	N						
3								3	N						
3								3	N						
1								3	N						
3								3	N						
3								3	N						
3								3	N						
2								3	N						
3								1	A						
3								1	A						
1								3	N						
3								3	N						
1								3	N						
3								3	N						
1								2	J						
3								3	N						
4								3	N						
3								3	N						
1								3	N						
1								1	A						
1								1	A						
3								1	A						
1								3	N						
2								3	N						
3								1	A						
1								3	N						
3								3	N						
3								3	N						
1								3	N						
1								3	N						
3								2	J						
1								3	N						
4								3	N						
3								3	N						
3								3	N						
3								3	N						
3								3	N						
3								1	A						
3								1	A						
3								3	N						
1								3	N						
1								1	A						
3								1	A						
1								1	A						
3								3	N						
1								3	N						
1								3	N						
4								1	A						
3								3	N						
3								4	S						
1								3	N						
1								3	N						
1								3	N						
3								3	N						
3								3	N						
2								3	N						
3								1	A						
1								1	A						
3								3	N						
1								3	N						
3								3	N						
2								4	S						
1								3	N						
2								3	N						
3								3	N						
3								3	N						
3								3	N						
1								3	N						
3								3	N						
4								3	N						
1								3	N						
3								1	A						
3								1	A						
3								3	N						
3								3	N						
2								1	A						
3								3	N						
3								1	A						
2								1	A						
2								3	N						
3								1	A						
1								3	N						
3								1	A						
2								3	N						
4								3	N						
3								3	N						
3								3	N						
3								1	A						
3								1	A						
3								3	N						
1								1	A						
3								2	J						
3								2	J						
3								3	N						
3								1	A						
3								3	N						
3								3	N						
3								3	N						
3								1	A						
1								3	N						
1								2	J						
1								3	N						
1								3	N						
1								3	N						
3								3	N						
3								1	A						
3								3	N						
3								3	N						
1								1	A						
1								2	J						
3								3	N						
3								4	S						
3								1	A						
4								1	A						
3								1	A						
3								3	N						
1								3	N						
1								1	A						
2								3	N						
4								3	N						
3								3	N						
3								1	A						
4								2	J						
3								1	A						
2								3	N						
3								3	N						
3								1	A						
3								3	N						
3								1	A						
2								4	S						
4								1	A						
3								2	J						
3								3	N						
1								3	N						
3								3	N						
2								3	N						
1								1	A						
3								3	N						
1								3	N						
3								2	J						
3								3	N						
3								4	S						
3								3	N						
3								3	N						
3								2	J						
2								3	N						
4								3	N						
1								1	A						
3								1	A						
3								3	N						
1								3	N						
3								1	A						
3								3	N						
3								3	N						
3								1	A						
3								3	N						
4								3	N						
3								3	N						
1								3	N						
3								3	N						
3								1	A						
1								3	N						
3								3	N						
2								3	N						
3								4	S						
4								3	N						
2								3	N						
2								3	N						
1								1	A						
1								2	J						
2								1	A						
3								3	N						
1								3	N						
3								1	A						
3								1	A						
1								2	J						
2								1	A						
3								3	N						
3								3	N						
3								3	N						
3								2	J						
1								3	N						
3								1	A						
3								3	N						
3								2	J						
3								3	N						
4								3	N						
3								1	A						
3								3	N						
3								1	A						
3								1	A						
3								3	N						
3								3	N						
3								1	A						
2								1	A						
1								1	A						
1								3	N						
3								1	A						
3								1	A						
3								3	N						
3								4	S						
3								4	S						
3								3	N						
3								1	A						
3								3	N						
2								1	A						
1								3	N						
1								1	A						
2								1	A						
3								3	N						
3								4	S						
1								3	N						
3								3	N						
3								3	N						
3								3	N						
3								2	J						
3								1	A						
3								3	N						
3								1	A						
4								3	N						
1															
3															
2															
3															
3															
1															
3															
3															
4															
1															
3															
3															
3															
2															
1															
3															
1															
3															
1															
3															
3															
4															
1															
3															
4															
3															
3															
2															
3															
1															
3															
2															
3															
3															
3															
1															
3															
3															
3															
1															
2															
3															
1															
2															
4															
1															
3															
1															
3															
3															
3															
3															
4															
3															
1															
3															
3															
1															
3															
3															
3															
3															
3															
2															
1															
3															
3															
3															
1															
3															
3															
4															
3															
3															
2															
3															
1															
3															
1															
3															
3															
1															
3															
4															
3															
3															
3															
4															
3															
1															
1															
3															
3															
1															
3															
1															
3															
3															
4															
3															
4															
3															
3															
3															
3															
1															
1															
3															
3															
2															
3															
3															
3															
2															
3															
1															
1															
4															
3															
3															
3															
3															
1															
3															
3															
1															
1															
3															
3															
1															
1															
3															
4															
4															
4															
3															
4															
3															
3															
3															
2															
3															
2															
1															
1															
3															
3															
3															
1															
1															
1															
4															
3															
3															
3															
2															
1															
3															
3															
3															
3															
3															
3															
3															
3															
3															
1															
1															
3															
1															
1															
3															
1															
2															
3															
1															
1															
2															
3															
1															
3															
3															
3															
1															
3															
3															
2															
3															
1															
1															
3															
1															
3															
3															
3															
1															
1															
3															
1															
3															
1															
4															
3															
2															
1															
3															
1															
1															
1															
3															
3															
2															
1															
1															
3															
1															
3															
1															
3															
2															
3															
2															
3															
1															
3															
3															
2															
4															
3															
4															
1															
3															
3															
3															
3															
3															
3															
4															
3															
3															
2															
2															
1															
3															
1															
1															
3															
4															
1															
1															
2															
4															
3															
3															
1															
3															
3															
3															
3															
3															
3															
3															
1															
3															
1															
1															
2															
3															
1															
3															
1															
2															
1															
3															
3															
1															
3															
3															
3															
1															
3															
3															
3															
1															
1															
3															
3															
